add_id,rooms,address,square_m2,parking,price,repair,metro,time_to_metro,time_on_foot,flat_floor,house_floors,house_type,balcony,windows,bathroom,with_children/animals,name_of_the_RC,house_series,ceiling_height_m,elevator,garbage_chute,furniture_rooms,furniture_kitchen,the_internet,tv
265323319,3,10685,133.3,5,400000.0,4,237,7,True,5,13,4,0,3,0,0,443,363,3.15,3,0,1,1,1,1
265804792,4,6925,210.0,3,400000.0,4,237,7,True,3,5,9,1,2,0,2,1083,363,3.8,3,0,1,1,1,1
239000408,4,1305,180.0,3,450000.0,4,12,9,True,4,4,9,0,3,0,1,1083,363,2.98,3,0,1,1,1,1
271209314,4,10682,165.0,3,470000.0,4,237,5,True,9,16,4,0,3,0,2,760,363,3.35,2,0,1,1,1,1
269889430,4,3563,190.0,3,590000.0,4,237,6,True,4,6,9,0,3,0,2,1083,363,4.05,3,0,1,1,1,1
241704098,4,10682,168.0,3,600000.0,4,237,5,True,4,16,4,0,3,0,0,760,363,3.35,2,0,1,1,1,1
239000331,5,6140,250.0,3,850000.0,4,109,8,True,8,9,4,0,3,0,2,995,363,2.98,2,0,1,1,1,1
272823500,3,9065,85.0,5,150000.0,2,12,7,True,7,7,3,1,3,1,3,1083,363,2.98,1,2,1,1,1,1
274402813,3,3575,105.0,5,195000.0,2,237,5,True,6,17,4,0,2,1,1,399,363,2.98,3,2,1,1,0,1
270190788,3,3575,134.0,5,300000.0,2,237,5,True,8,16,5,1,3,0,1,399,363,2.98,1,2,1,1,1,1
271265359,2,9071,60.0,2,90000.0,2,237,5,True,5,6,9,0,2,1,0,1083,363,3.2,1,2,1,1,1,1
274289253,3,9065,85.0,3,150000.0,1,12,7,True,7,7,9,1,3,2,3,1083,363,2.98,3,2,1,1,0,1
274150874,5,9072,150.0,3,250000.0,1,237,4,True,4,6,9,0,3,2,3,1083,363,2.98,3,2,1,1,0,1
274849686,4,57,142.0,5,350000.0,2,237,5,True,12,13,9,0,2,1,3,751,363,3.2,1,2,1,1,1,1
274315381,5,6140,222.0,3,450000.0,2,12,6,True,7,9,9,2,1,2,1,995,363,2.98,1,2,1,1,1,1
273779074,2,1265,60.0,3,120000.0,4,237,7,True,3,6,3,0,1,1,1,1083,212,3.6,1,2,1,0,1,0
274217247,3,9068,103.0,3,120000.0,4,237,8,True,2,3,3,0,2,1,0,1083,212,3.8,3,2,0,0,1,0
272156997,5,1819,170.0,2,175000.0,2,109,5,True,5,5,3,0,0,1,1,1083,363,3.2,1,2,1,1,1,1
274617827,5,6141,200.0,3,190000.0,2,109,8,True,3,3,3,0,0,2,1,1083,363,2.98,3,2,0,1,0,1
274252871,3,3575,105.0,5,240000.0,4,237,5,True,6,17,5,2,2,1,1,398,363,3.0,2,0,1,1,1,1
269132104,1,10685,60.0,5,250000.0,2,237,10,True,2,12,4,0,0,1,0,443,363,3.0,2,1,1,1,1,1
273911217,5,9072,155.0,3,250000.0,1,237,6,True,4,6,9,0,1,2,3,1083,363,2.98,1,2,1,1,1,1
269716469,3,3575,134.0,5,300000.0,2,237,5,True,8,16,4,0,2,1,1,398,363,3.0,2,0,1,1,1,1
274140104,5,57,204.0,2,500000.0,4,237,5,True,2,14,5,0,0,1,1,752,350,3.2,2,2,0,0,1,0
271258034,5,5983,180.0,3,500000.0,2,237,9,True,7,8,9,2,0,2,0,1083,363,2.98,1,2,1,1,1,1
166833883,6,1253,260.0,3,590000.0,1,12,6,True,6,8,3,1,1,1,1,1083,363,2.98,2,2,1,1,1,1
273798495,4,2837,237.1,3,650000.0,1,237,6,True,7,11,5,2,2,1,3,387,363,2.98,1,2,1,1,1,1
274810876,4,6925,215.0,5,700000.0,2,237,4,True,5,5,3,0,3,1,3,1083,363,2.98,3,2,1,1,1,1
274223065,2,1265,60.0,3,120000.0,1,237,8,True,3,6,9,0,1,2,3,1083,363,2.98,3,2,1,1,1,1
271264562,5,1819,170.0,2,175000.0,2,109,5,True,5,5,10,0,2,1,1,1083,363,3.2,1,0,0,1,1,1
272632345,3,9065,98.0,3,185000.0,4,12,6,True,6,6,3,0,3,0,3,1083,363,3.0,1,0,0,0,1,0
274018110,2,6140,175.0,5,200000.0,4,12,5,True,3,9,4,0,3,0,3,995,363,3.1,2,0,0,0,1,0
274029603,4,9069,180.0,3,350000.0,2,237,5,True,3,4,3,0,2,1,0,1083,363,2.98,1,2,1,1,1,1
274548856,4,57,132.0,5,350000.0,1,237,6,True,12,13,4,0,0,1,1,752,363,2.98,2,2,1,1,0,1
271766412,6,6929,228.0,3,400000.0,2,5,4,True,3,6,9,1,0,1,3,1083,363,2.98,1,2,0,1,1,1
269165004,3,58,92.3,0,470000.0,4,237,2,True,3,7,4,0,3,0,3,138,363,4.2,2,0,1,1,1,1
274105576,5,57,204.0,5,500000.0,2,237,5,True,2,13,9,1,2,1,1,751,363,3.2,1,2,1,1,1,1
273785180,4,10679,160.0,3,650000.0,2,12,4,True,26,26,9,0,2,1,1,147,363,3.2,1,2,1,1,1,1
273785183,4,10679,140.0,3,650000.0,2,12,4,True,25,26,9,0,2,1,1,147,363,3.2,1,2,1,1,1,1
273785185,4,10679,140.0,3,700000.0,2,12,4,True,25,26,9,1,2,1,1,147,363,3.2,1,2,1,1,1,1
274528249,1,4026,45.0,2,120000.0,1,12,3,True,6,7,3,1,3,1,3,1083,363,2.98,1,2,1,1,1,1
274431438,3,2613,65.0,2,130000.0,2,237,3,True,7,7,9,0,2,1,1,1083,363,3.2,1,2,1,1,1,1
274064272,3,3999,87.0,3,140000.0,2,12,5,True,4,7,3,0,2,0,3,1083,363,2.98,1,0,1,1,1,0
273078340,3,5535,90.0,3,145000.0,1,237,6,True,7,12,3,1,2,1,1,1083,363,3.0,1,0,1,1,1,1
274359655,4,9069,180.0,5,350000.0,2,237,7,True,3,4,3,0,3,0,3,1083,212,2.98,1,2,0,1,1,1
272226556,4,9069,180.0,3,400000.0,1,12,10,True,2,3,9,1,3,2,0,1083,363,2.98,3,2,1,1,0,1
273114736,4,58,170.0,3,650000.0,1,237,5,True,4,7,9,1,3,2,1,137,363,2.98,3,2,1,1,1,1
274319903,3,4904,75.0,4,99000.0,3,237,3,True,9,10,3,0,0,0,1,1083,363,2.98,2,2,1,1,1,1
273427928,3,5984,87.0,3,100000.0,1,237,11,True,3,7,3,0,1,1,0,1083,363,2.98,1,2,1,1,0,1
274296188,3,1254,105.0,4,180000.0,3,12,8,True,9,9,3,1,2,1,0,1083,363,3.0,1,0,1,1,1,1
272887177,3,1820,99.0,5,200000.0,4,12,5,True,3,9,3,2,0,1,0,882,212,3.2,2,2,1,0,1,0
269319175,1,10685,60.0,5,250000.0,4,237,7,True,2,11,5,0,0,1,0,444,350,3.5,1,2,1,0,1,0
269687656,4,6936,140.0,3,280000.0,2,237,6,True,4,6,9,0,0,1,3,1083,363,2.98,1,2,1,1,1,1
261980888,3,10685,133.0,5,400000.0,4,237,6,True,5,13,5,0,0,1,0,444,350,2.8,2,2,1,0,1,0
272567246,4,9069,180.0,3,400000.0,4,237,4,True,2,4,4,1,0,1,1,1083,363,2.98,1,2,1,1,0,1
274930877,4,6140,219.0,5,450000.0,4,109,5,True,5,9,5,2,3,1,3,995,350,2.98,3,2,0,0,1,0
273576298,3,6931,130.0,5,450000.0,4,109,6,True,3,8,3,1,0,1,0,1083,363,2.98,3,2,1,0,1,0
271108834,5,5983,180.0,5,500000.0,1,237,8,True,7,7,4,1,2,1,0,1083,363,3.0,1,0,1,1,1,1
256631457,4,9066,190.0,2,520000.0,4,12,8,True,7,7,3,1,2,1,0,1083,212,3.2,2,2,0,0,1,0
271988698,3,10682,174.0,3,550000.0,1,237,9,True,10,16,5,0,2,1,1,760,363,2.98,1,0,1,1,1,1
271305644,6,1264,336.0,3,590000.0,1,12,12,True,4,5,9,0,3,2,3,1083,363,2.98,3,2,0,1,0,0
271097684,4,58,170.0,5,650000.0,1,237,2,True,4,7,5,1,0,1,1,138,363,2.98,2,0,1,1,1,1
273106501,6,6929,338.0,2,650000.0,4,26,5,True,5,6,3,0,2,1,1,1083,350,3.2,1,2,0,0,1,0
274066192,2,10681,52.0,2,80000.0,4,237,8,True,11,24,6,0,1,1,0,1083,24,2.98,3,2,1,0,1,0
273763131,3,59,91.0,3,95000.0,0,237,4,True,9,10,9,0,3,0,3,1083,363,2.98,1,2,1,1,1,1
273684904,2,1258,56.0,2,105000.0,4,237,9,True,7,16,6,1,2,0,1,1083,350,2.98,2,2,1,0,1,0
271542995,3,4063,80.0,2,120000.0,4,237,8,True,5,6,10,1,0,1,3,1083,212,3.2,1,2,1,0,1,0
273012299,2,9183,94.0,3,135000.0,4,12,8,True,5,5,3,0,2,1,3,1083,350,3.2,1,2,1,0,1,0
270282698,2,10679,40.0,3,135000.0,4,12,7,True,21,26,5,0,1,1,0,148,350,3.0,2,2,1,0,1,0
272244255,3,5535,90.0,2,145000.0,4,237,6,True,4,12,3,0,1,0,3,1083,212,2.98,3,2,1,0,1,0
272701749,2,5687,120.0,2,165000.0,4,109,7,True,4,4,10,0,1,1,3,1083,350,3.0,3,2,1,0,1,0
271204399,5,1819,170.0,3,175000.0,2,109,7,True,5,5,9,0,0,2,3,1083,363,2.98,1,2,1,1,1,1
274879736,3,9184,140.0,4,180000.0,3,12,5,True,4,6,10,0,2,1,1,1083,363,3.2,1,0,1,1,1,1
256631941,3,10226,120.0,2,190000.0,4,12,7,True,4,5,10,0,1,1,1,1083,350,3.0,1,2,1,0,1,0
272917777,3,1820,95.0,5,200000.0,2,30,10,True,3,9,5,1,3,0,3,881,363,2.98,1,0,1,1,1,1
252536547,4,6928,130.0,3,220000.0,3,26,4,True,4,5,3,0,0,1,1,1083,363,2.98,1,2,1,1,1,1
274434108,3,10679,70.0,3,230000.0,1,12,7,True,24,26,6,0,0,1,0,147,363,2.98,2,2,1,1,1,1
269465572,4,1820,189.0,5,330000.0,2,109,7,True,2,9,3,1,3,0,3,881,363,2.98,1,2,1,1,1,1
263779667,2,6925,120.0,5,330000.0,4,237,4,True,2,6,3,0,0,1,3,1083,350,3.8,1,2,1,0,1,0
224335583,4,4062,111.0,3,350000.0,2,17,12,True,9,10,9,2,3,1,1,1083,363,2.98,3,2,1,1,1,1
271627634,2,10685,92.0,3,350000.0,1,237,7,True,3,13,9,0,3,2,3,443,363,2.98,3,2,1,1,0,1
274700592,4,57,132.0,3,350000.0,0,237,4,True,12,13,9,0,1,1,3,752,363,2.98,1,2,1,1,1,1
273231375,4,6925,202.0,3,360000.0,1,237,5,True,3,6,9,0,3,2,3,1083,363,2.98,3,2,1,1,0,1
271586905,2,10685,123.0,3,400000.0,1,237,7,True,7,13,9,0,3,2,3,443,363,2.98,3,2,1,1,0,1
274315960,3,6931,130.0,3,450000.0,1,12,10,True,3,7,9,1,3,2,0,1083,363,2.98,3,2,1,1,0,1
272845144,3,2837,180.0,3,450000.0,1,12,15,True,6,9,9,0,3,2,3,386,363,2.98,3,2,1,1,0,1
274743086,5,6140,220.0,3,450000.0,2,109,4,True,4,9,5,1,2,1,1,995,363,2.98,1,0,1,1,1,1
271776317,4,2837,180.0,3,450000.0,2,237,6,True,6,11,9,0,0,1,1,387,363,2.98,1,2,1,1,1,1
267884643,4,4716,206.0,5,470000.0,1,12,15,True,3,9,4,0,2,1,0,1083,363,3.2,2,0,1,1,1,1
274252226,5,57,215.0,5,500000.0,2,237,6,True,2,13,5,0,0,0,1,752,363,2.98,1,0,0,1,1,1
273970263,4,9066,195.0,2,520000.0,1,12,7,True,7,7,3,1,3,1,3,1083,363,3.2,1,0,1,1,1,1
269515978,4,3563,186.0,5,590000.0,4,237,4,True,4,6,3,0,0,1,0,1083,350,3.2,1,2,1,0,1,0
267915862,6,1264,336.0,3,590000.0,1,237,5,True,4,4,3,0,0,1,1,1083,363,2.98,1,2,0,1,0,1
273687210,6,6929,380.0,3,650000.0,2,5,4,True,5,5,9,0,1,0,1,1083,363,2.98,1,2,1,1,1,1
274009456,2,10681,53.0,3,80000.0,2,237,5,True,11,24,9,0,2,1,3,1083,363,3.2,1,2,1,1,1,1
274723871,2,10680,53.0,2,80000.0,2,237,10,True,5,24,6,0,0,0,0,1083,363,2.5,2,2,1,1,0,1
274548003,2,10686,60.0,2,90000.0,3,12,6,True,23,24,9,0,1,1,1,1083,363,2.98,1,0,1,1,1,1
229808794,1,10679,30.0,2,95000.0,1,12,9,True,21,26,9,0,1,1,3,148,363,2.98,2,1,1,1,1,1
274903280,3,5535,80.0,3,100000.0,2,237,6,True,2,12,3,0,3,2,0,1083,363,2.98,1,0,1,1,1,1
271439388,3,4061,68.0,2,100000.0,2,237,5,True,5,6,3,1,0,1,1,1083,363,2.8,1,2,1,1,1,1
273474991,2,1258,55.0,4,105000.0,2,103,10,True,7,16,7,2,1,0,1,1083,363,2.8,2,0,1,1,1,1
274135582,2,2614,55.0,2,110000.0,2,237,2,True,8,10,9,0,1,1,1,1083,363,3.2,1,2,1,1,1,1
274880892,3,9068,103.0,3,120000.0,1,12,9,True,2,3,3,0,2,1,1,1083,363,2.98,3,2,0,1,1,0
271716464,3,4063,80.0,3,120000.0,2,237,10,True,5,6,9,1,0,2,3,1083,363,2.98,1,2,1,1,1,1
271249218,2,2999,65.0,5,130000.0,1,237,5,True,1,7,3,0,0,1,0,1083,363,3.0,1,2,1,1,1,1
274012210,2,9183,98.0,4,135000.0,2,12,5,True,5,5,10,0,0,1,0,1083,363,3.4,1,0,1,1,1,1
269317588,2,10679,40.0,3,135000.0,1,12,9,True,21,26,5,0,2,1,3,147,363,2.4,2,1,1,1,1,1
273650910,2,9183,89.4,3,135000.0,2,12,9,True,5,6,3,0,1,1,1,1083,363,2.98,1,0,1,1,1,1
273823802,3,5535,90.0,3,145000.0,1,237,6,True,4,12,3,0,2,0,1,1083,363,2.98,1,0,1,1,1,1
272821193,3,9065,90.0,2,150000.0,2,12,5,True,7,7,9,0,2,1,1,1083,363,3.2,1,2,1,1,1,1
274103646,3,6139,100.0,4,150000.0,3,12,6,True,5,5,10,0,3,1,1,1083,363,2.98,1,1,1,1,1,1
236632140,2,10679,43.3,3,150000.0,1,12,9,True,12,26,5,0,0,1,3,148,363,4.0,0,1,0,1,1,0
274478078,3,10684,110.0,2,160000.0,2,237,8,True,10,12,7,1,2,1,0,1083,363,3.0,1,1,1,1,1,1
272710931,2,5687,120.0,3,165000.0,2,109,7,True,4,4,10,1,0,1,3,1083,363,3.0,3,0,1,1,1,1
272047599,3,9073,117.0,4,170000.0,2,237,6,True,8,8,3,0,0,1,1,1083,363,3.0,1,1,1,1,1,1
273235893,3,6931,120.0,5,180000.0,2,109,10,True,4,6,4,2,0,1,0,1083,363,3.0,1,1,1,1,1,1
271487126,4,4717,96.0,3,180000.0,2,17,10,True,3,5,3,1,0,1,1,1083,363,2.98,1,0,1,1,1,1
236952590,2,10226,120.0,4,190000.0,3,12,8,True,4,5,10,0,0,1,0,1083,363,4.0,1,1,1,1,1,1
267882068,3,5686,120.0,3,195000.0,1,109,9,True,2,12,3,1,2,1,0,1083,363,2.98,2,0,1,1,1,1
271577440,2,10685,75.0,5,200000.0,1,237,10,True,4,10,4,0,1,1,1,443,363,3.2,1,1,1,1,1,1
273795577,3,1820,99.0,3,200000.0,1,12,5,True,3,9,5,2,0,1,1,882,363,2.98,1,2,1,1,1,1
271764581,4,1306,130.0,2,220000.0,1,12,10,True,4,6,10,0,0,1,0,1083,363,3.2,1,0,1,1,1,1
274442273,3,9070,105.0,5,250000.0,2,237,7,True,2,4,5,0,3,0,3,1083,363,2.98,1,0,1,1,1,1
273689040,3,6932,115.0,2,250000.0,2,237,9,True,7,7,5,1,0,1,1,1083,363,3.0,2,0,1,1,1,1
274455073,5,2999,165.0,2,250000.0,2,237,7,True,4,8,9,0,2,1,1,1083,363,3.2,1,2,1,1,1,1
267127816,2,10685,76.0,5,270000.0,2,12,20,True,6,13,4,0,1,1,3,443,363,3.0,2,1,1,0,1,1
274999073,3,4064,126.0,2,300000.0,2,237,4,True,9,9,9,1,1,1,1,1083,363,3.2,1,2,1,1,1,1
273894772,3,10683,124.0,5,300000.0,2,237,10,True,10,17,9,0,2,1,3,1083,363,3.2,1,2,1,1,1,1
274085397,2,6925,130.0,5,330000.0,1,237,5,True,2,6,3,0,2,1,3,1083,363,3.8,1,2,1,1,1,1
269357269,4,1820,190.0,5,330000.0,2,12,5,True,2,8,9,0,2,1,0,881,363,3.2,1,2,1,1,1,1
273906122,4,57,178.0,5,350000.0,1,237,4,True,13,13,5,2,0,1,0,752,363,3.0,1,2,1,1,1,1
241709509,4,4062,135.0,4,350000.0,2,17,15,True,9,10,7,1,1,1,3,1083,363,3.0,1,0,1,1,1,1
268872145,4,10683,212.0,3,350000.0,2,237,10,True,6,17,9,0,2,1,1,1083,363,3.2,1,2,1,1,1,1
274095176,4,6925,201.0,3,360000.0,1,237,5,True,3,5,3,0,1,1,1,1083,363,2.98,1,2,1,1,1,1
272406227,5,10227,181.0,2,370000.0,1,12,9,True,5,8,3,1,2,1,3,1083,363,3.4,1,0,1,1,1,1
269938440,2,10685,123.6,3,400000.0,2,12,15,True,7,13,5,0,2,1,1,443,363,2.98,3,2,1,1,1,1
265972115,3,10685,129.0,3,400000.0,1,237,8,True,5,13,5,0,3,1,3,444,363,2.98,1,2,1,1,0,1
272294030,4,9069,176.0,2,400000.0,2,237,7,True,2,4,9,1,1,1,1,1083,363,3.2,1,2,0,1,1,1
271917911,4,10682,190.0,5,400000.0,1,237,9,True,7,16,5,0,2,1,1,760,363,3.3,2,0,1,1,1,1
272096512,4,2837,180.0,2,450000.0,2,237,7,True,6,11,9,0,2,1,0,386,363,3.2,1,2,1,1,1,1
259213637,3,58,110.0,5,500000.0,1,237,2,True,5,7,5,2,0,1,3,138,363,3.3,1,2,1,1,1,1
271066176,5,5983,180.0,5,500000.0,2,237,7,True,7,7,9,1,2,1,1,1083,363,3.2,1,2,1,1,1,1
274431441,4,1305,300.0,2,500000.0,2,12,8,True,6,6,9,1,2,1,1,1083,363,3.2,1,2,1,1,1,1
274751643,3,10682,190.0,5,500000.0,1,237,9,True,7,16,5,0,2,0,1,760,363,3.0,2,0,0,1,1,0
272470364,5,5983,180.0,3,500000.0,1,237,9,True,6,6,5,2,1,1,1,1083,363,2.98,1,2,1,1,1,1
271499362,4,6140,209.0,3,550000.0,3,109,6,True,5,9,5,0,2,1,0,995,363,2.98,1,0,1,1,1,1
265591858,3,10682,173.1,5,550000.0,1,237,6,True,10,16,5,2,3,1,0,760,363,3.2,1,0,1,1,1,1
267743247,6,1264,336.0,2,590000.0,2,237,7,True,4,4,9,0,2,1,1,1083,363,3.2,1,2,0,1,1,1
270598847,4,3563,190.0,5,600000.0,2,237,4,True,4,5,9,0,2,1,1,1083,363,3.2,1,2,1,1,1,1
271983799,6,5534,258.0,2,600000.0,2,237,6,True,11,11,9,1,2,1,0,1083,363,3.2,1,2,1,1,1,1
274686779,3,6293,76.0,3,60000.0,3,135,4,False,13,14,6,1,2,0,0,1083,363,2.74,1,0,1,1,1,1
274862000,1,6787,35.3,3,36000.0,2,8,25,False,9,9,5,2,0,1,1,1083,363,2.6,1,2,1,1,1,0
274747534,2,6786,71.7,3,55000.0,2,8,25,False,9,9,5,2,2,1,0,906,363,2.7,1,2,1,1,1,1
273551383,1,1948,41.2,3,36000.0,3,165,20,True,13,15,6,2,1,0,1,695,363,2.98,1,0,1,1,1,1
273693111,3,2017,70.0,2,65000.0,2,70,10,True,9,14,6,1,1,0,0,663,363,2.4,2,0,1,1,1,1
273510895,1,6293,40.0,3,30000.0,3,135,4,False,8,14,6,2,0,1,0,1083,363,2.74,1,0,1,1,1,0
265111957,2,6297,57.0,2,45000.0,3,165,4,False,12,22,6,1,0,0,0,1083,363,2.64,1,0,1,1,1,1
267761830,1,1953,42.0,3,35000.0,3,165,20,True,14,15,5,1,3,0,0,695,363,2.98,1,0,1,1,1,1
275004836,3,2016,82.0,3,55000.0,3,70,11,True,4,14,6,1,2,0,3,1083,363,2.98,3,1,0,0,0,0
273907511,1,565,41.0,2,29999.0,3,277,10,False,10,17,6,1,0,1,1,1083,363,2.64,1,0,1,1,1,1
235355662,1,1946,37.0,3,38000.0,2,165,4,False,14,17,6,1,0,0,3,695,363,3.0,1,0,1,1,0,0
268903569,3,1946,87.0,3,80000.0,4,230,14,False,14,17,6,1,2,0,0,695,233,2.7,2,2,1,0,1,0
274794055,3,1927,84.0,3,95000.0,4,8,11,False,6,14,6,0,0,1,0,905,363,2.98,3,2,1,0,1,0
274455296,1,1952,38.0,3,28000.0,3,165,7,False,4,17,5,2,0,0,0,1083,363,2.98,1,0,1,1,0,1
274838267,1,6294,38.0,3,28000.0,3,135,20,True,11,17,6,2,3,1,3,1083,363,2.74,1,0,1,1,0,0
274905945,1,566,35.0,2,29000.0,3,8,11,False,9,24,6,2,0,2,0,1083,363,2.64,1,0,1,1,1,0
273089522,1,1926,30.0,2,30000.0,2,8,15,False,-1,4,5,0,1,1,0,1083,363,3.1,3,2,1,1,1,1
272169225,1,6294,38.0,2,30000.0,3,135,20,True,14,17,4,1,0,1,0,1083,363,2.74,1,0,1,1,1,0
274177400,1,6296,40.0,3,30000.0,3,135,20,True,9,22,6,2,3,1,0,1083,363,2.64,1,0,1,1,1,0
273379337,1,565,38.0,2,30000.0,3,70,20,True,16,17,6,2,0,2,3,1083,363,2.64,2,0,1,1,1,1
274164058,1,2013,38.0,3,32000.0,3,70,8,True,3,14,9,1,0,1,1,1083,363,2.98,3,2,1,1,1,1
273764363,1,1948,42.4,3,32000.0,3,165,20,True,7,15,6,1,3,0,0,695,363,2.98,1,0,1,1,1,0
274173656,1,2015,44.7,2,35000.0,3,70,12,True,10,14,9,2,1,1,3,1083,363,2.98,2,2,1,1,1,1
274063411,2,6297,58.0,2,36000.0,3,135,22,True,6,22,6,2,0,0,3,1083,363,2.64,2,0,1,1,1,0
236543080,1,6788,36.0,3,38000.0,2,8,10,False,3,9,9,1,3,1,1,1083,363,2.98,2,2,1,1,1,0
256888072,1,1949,42.0,2,38000.0,2,165,19,True,12,17,6,1,0,0,3,695,363,2.75,2,0,1,1,1,1
274622371,2,1940,64.0,3,40000.0,3,165,15,True,7,14,6,1,0,0,1,1083,363,2.74,1,0,1,1,1,0
274917579,2,2013,55.0,2,40000.0,2,70,10,True,4,14,5,2,3,0,0,1083,363,2.98,2,2,1,1,0,1
274922675,1,1947,35.0,2,40000.0,2,165,7,False,14,19,5,2,2,0,0,1083,363,2.98,2,0,1,1,1,0
274482454,2,2014,63.8,2,40000.0,3,70,10,True,4,14,6,2,0,0,0,663,363,2.98,1,0,1,1,0,0
274099537,2,1951,67.0,3,43000.0,2,165,19,True,5,17,5,2,0,0,0,695,363,2.98,1,0,1,1,1,1
274632558,3,564,56.0,3,45000.0,3,8,15,False,10,12,6,2,0,1,0,1083,363,2.64,1,0,1,1,1,1
